
















2017-08-29 23:17:18,"breast, cancer",28846324,Spiradenoma.,International journal of surgery case reports,"Miceli A, Ferrer-Bruker SJ.",2017,"[<abstracttext>Spiradenomas are well-differentiated, benign, dermal neoplasms originating from the sweat glands. Most spiradenomas occur between the ages of 15 to 35 years. Typically, they present as small solitary nodules that can grow to several centimeters, often with a blue, gray, or purple hue. They are strikingly painful. Spiradenomas usually arise on the head, neck, and trunk; however, cases in other areas such as the breast have occurred. Spiradenomas with varying morphology like multiple linear, zosteriform, blaschkoid, and nevoid spiradenomas have also been reported. Spiradenomas can occur concomitantly with cylindromas, trichoepitheliomas, and/or trichoblastomas. In patients with Brooke-Spiegler, multiple spiradenomas, cylindromas, and trichoepitheliomas can be seen.</abstracttext>]","['/books/NBK448150/""><img src=""/corehtml/pmc/pmcgifs/bookshelf/thumbs/th-statpearls.png"" alt=""Click here to read"" /></a></div><div class=""v_align_center""><a class=""book_title_link""']" 
2017-08-29 23:18:59,"breast, cancer",28844678,"Antioxidant, anti-inflammatory, antiproliferative and antimycobacterial activities of the essential oil of Psidium guineense Sw. and spathulenol.",Journal of ethnopharmacology,"do Nascimento KF, Moreira FMF, Alencar Santos J, Kassuya CAL, Croda JHR, Cardoso CAL, Vieira MDC, Góis Ruiz ALT, Ann Foglio M, de Carvalho JE, Formagio ASN.",2017,"[<abstracttext label=""ETHNOPHARMACOLOGICAL RELEVANCE"" nlmcategory=""BACKGROUND"">Leaves from Psidium guineense Sw. are used in popular medicine for the treatment of inflammatory disease. However, there is no scientific evidence demonstrating this activity.</abstracttext>, <abstracttext label=""AIM OF THE STUDY"" nlmcategory=""OBJECTIVE"">To evaluate the antioxidant, anti-inflammatory, antiproliferative and antimycobacterial activities of the essential oil of P. guineense and spathulenol (a major constituent). The study was conducted in part to provide evidence supporting the ethnobotanical use of the leaves of this species.</abstracttext>, <abstracttext label=""MATERIAL AND METHODS"" nlmcategory=""METHODS"">The essential oil (EOPG) was extracted from the leaves of P. guineense by hydrodistillation and analysed by gas chromatography-mass spectrometry (GC-MS). The major compound, spathulenol (PG-1), was isolated in a chromatographic column and characterized by nuclear magnetic resonance (NMR). EOPG and PG-1 were evaluated in vitro for antioxidant activity by DPPH, ABTS and MDA methods; anti-inflammatory potential was assessed using two models, including pleurisy and edema, in mice. The impact of EOPG and PG-1 on cell proliferation was determined via spectrophotometric quantification of the cellular protein content using a sulforhodamine B assay, and anti-Mycobacterium tuberculosis activity was determined using the REMA method.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">A total of 38 components were identified from the EOPG, with the sesquiterpenic alcohol spathulenol (PG-1) (80.7%) being the major constituent. EOPG and PG-1 exhibited the highest antioxidant activities in the DPPH and MDA system compared with reference standard, with IC<sub>50</sub> values ranging from 26.13-85.60μg/mL. Oral administration of EOPG and PG-1 showed significant inhibition in the Cg-induced mice paw oedema and pleurisy model. The EOPG (GI<sub>50</sub> = 0.89μg/mL) and PG-1 (GI<sub>50</sub> = 49.30μg/mL) were particularly effective against the ovarian cancer cell line. Both showed moderate antimycobacterial activity.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">For the first time, this study demonstrated the antioxidant, anti-inflammatory, antiproliferative and antimycobacterial properties of the essential oil of P. guineense (leaves were collected in Dourados-MS) and spathulenol, collaborating the etnhopharmacologycal use of this plant due to its an anti-inflammatory effect.</abstracttext>]",[]
2017-08-29 23:19:01,"breast, cancer",28844462,High serum uric acid concentration predicts poor survival in patients with breast cancer.,Clinica chimica acta; international journal of clinical chemistry,"Yue CF, Feng PN, Yao ZR, Yu XG, Lin WB, Qian YM, Guo YM, Li LS, Liu M.",2017,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Uric acid is a product of purine metabolism. Recently, uric acid has gained much attraction in cancer. In this study, we aim to investigate the clinicopathological and prognostic significance of serum uric acid concentration in breast cancer patients.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">A total of 443 female patients with histopathologically diagnosed breast cancer were included. After a mean follow-up time of 56months, survival was analysed using the Kaplan-Meier method. To further evaluate the prognostic significance of uric acid concentrations, univariate and multivariate Cox regression analyses were applied.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Of the clinicopathological parameters, uric acid concentration was associated with age, body mass index, ER status and PR status. Univariate analysis identified that patients with increased uric acid concentration had a significantly inferior overall survival (HR 2.13, 95% CI 1.15-3.94, p=0.016). In multivariate analysis, we found that high uric acid concentration is an independent prognostic factor predicting death, but insufficient to predict local relapse or distant metastasis. Kaplan-Meier analysis indicated that high uric acid concentration is related to the poor overall survival (p=0.013).</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">High uric acid concentration predicts poor survival in patients with breast cancer, and might serve as a potential marker for appropriate management of breast cancer patients.</abstracttext>]",[]
2017-08-29 23:19:03,"breast, cancer",28844386,Modified biphenyl Hsp90 C-terminal inhibitors for the treatment of cancer.,Bioorganic &amp; medicinal chemistry letters,"Forsberg LK, Liu W, Holzbeierlein J, Blagg BSJ.",2017,"[<abstracttext>Heat Shock Protein 90 (Hsp90) is a molecular chaperone under clinical investigation for the treatment of neurodegenerative diseases and cancer. Neuroprotective Hsp90 C-terminal inhibitors (novologues) contain a biaryl ring system, and include KU-596, which was modified and investigated for potential anti-cancer activity. Incorporation of a benzamide group onto the biaryl novologues in lieu of the acetamide yielded compounds that manifest anti-cancer activity. Further exploration of the central phenyl ring led to compounds with enhanced anti-proliferative activity. The design, synthesis, and evaluation of these new analogs against breast and prostate cancer cell lines is reported herein, where it was found that 8b and 10 manifest potent anti-proliferative activity and a robust degradation of Hsp90 client-dependent proteins.</abstracttext>]",[]
2017-08-29 23:19:08,"breast, cancer",28844207,A novel presentation of Mycobacterium avium complex in a recipient of a lung transplant: a case report.,Journal of medical case reports,"Cohen L, Guarner J, Hunt WR.",2017,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Lung transplantation remains an important potential therapeutic option for end-stage lung disease. It can improve quality of life and in some cases be a life-lengthening therapy. Despite the possible benefits, there are also many potential complications following transplantation. Here we describe a novel presentation of nontuberculous mycobacterium manifesting as an endobronchial mass developing 4 years after lung transplantation.</abstracttext>, <abstracttext label=""CASE PRESENTATION"" nlmcategory=""METHODS"">A 66-year-old African-American woman presented with progressive dyspnea, cough, and persistent wheezing of 2 months' duration. She had a distant history of breast cancer and received bilateral lung transplantation due to end-stage pulmonary fibrosis 4 years prior to her current presentation. She denied fevers, but did endorse night sweats. She had diffuse expiratory wheezing on auscultation. Chest computed tomography imaging showed an endobronchial soft tissue lesion nearly occluding the left mainstem bronchus, which was concerning for endobronchial carcinoma. Rigid bronchoscopy demonstrated a fibrinous mass protruding into the left mainstem proximal to the anastomosis. A pathology report noted fragments of partially necrotic granulation tissue in addition to scant fragments of focally ulcerated bronchial mucosa. Both the tissue culture and bronchial wash stained positively for acid-fast bacilli and grew Mycobacterium avium complex.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">Nontuberculous mycobacterium pulmonary disease is common post lung transplant and risk factors are related to immunosuppression and history of structural lung disease. Mycobacterium avium complex presenting as an endobronchial lesion in a patient post lung transplant is a novel presentation.</abstracttext>]",[]
2017-08-29 23:19:11,"breast, cancer",28844204,Ocular metastasis from breast carcinoma simulating anterior scleritis: a case report.,Journal of medical case reports,"Shah RK, Lamichhane S.",2017,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Breast cancer is one of the commonest sources of ocular metastasis. Patients with ocular metastatic disease can present with a variable clinical picture. Patients with a history of breast cancer presenting with any eye symptom should be evaluated with consideration of ocular metastasis.</abstracttext>, <abstracttext label=""CASE PRESENTATION"" nlmcategory=""METHODS"">We report a case of ocular metastasis in a 46-year-old Brahmin woman presenting with right eye pain. She had been treated for stage IIIc left-sided breast cancer 2 years ago with six cycles of chemotherapy with docetaxel, adriamycin, and cyclophosphamide after undergoing modified radical mastectomy. An ophthalmic examination revealed a tender subconjunctival swelling superotemporally on retracting right upper eyelid. This finding alone indicated anterior scleritis. On examining fundus under mydriasis, an amelanotic subretinal mass could be visualized in the posterior pole superotemporal to macula. An orbital magnetic resonance imaging revealed a mass of 2 × 1 cm in size in the subretinal space of her right eye. Computed tomography of her chest was then done and showed multiple metastases in both lungs.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">This case report highlights the fact that any unusual ocular presentation, even one simulating anterior scleritis, in a patient with a history of breast cancer should raise suspicion of metastasis.</abstracttext>]",[]
2017-08-29 23:19:16,"breast, cancer",28844196,Atypical femoral fracture associated with bone-modifying agent for bone metastasis of breast cancer: A report of two cases.,Journal of orthopaedic surgery (Hong Kong),"Tateiwa D, Outani H, Iwasa S, Imura Y, Tanaka T, Oshima K, Naka N, Araki N.",2017,"[<abstracttext>Atypical femoral fractures (AFFs) are recently observed as a complication of long-term bone-modifying agent (BMA; bisphosphonate or denosumab) therapy for bone metastases. We describe the cases of two women diagnosed with breast cancer who developed incomplete AFF associated with BMAs prescribed for bone metastases. Radiographs of their femurs revealed thickening of the lateral subtrochanteric cortex, and tomosynthesis revealed a visible fracture line in the thickened cortex. They were initially treated with conservative management; however, the incomplete fracture resulted in a complete fracture. These cases highlight two major implications. First, symptomatic incomplete AFF associated with BMAs prescribed for bone metastases should be treated with surgical prophylaxis, given the fact that fracture healing is expected to require a longer duration and an incomplete fracture might potentially progress to a complete fracture during long-term conservative management. Second, tomosynthesis is useful in identifying radiolucent fracture lines that are reliable predictors of fracture propagation.</abstracttext>]",[]
2017-08-29 23:19:19,"breast, cancer",28843381,"Corrigendum to ""Treatment of Breast and Prostate Cancer by Hypofractionated Radiotherapy: Potential Risks and Benefits"" [Clin Oncol 27 (7) (2015) 420-426].",Clinical oncology (Royal College of Radiologists (Great Britain)),"Ray KJ, Sibson NR, Kiltie AE.",2016,[],[]
2017-08-29 23:19:31,"breast, cancer",28843320,"Corrigendum to ""The conserved Fanconi anemia nuclease Fan1 and the SUMO E3 ligase Pli1 act in two novel Pso2-independent pathways of DNA interstrand crosslink repair in yeast"" [DNA Repair 12 (December (12)) (2013) 1011-1023].",DNA repair,"Fontebasso Y, Etheridge TJ, Oliver AW, Murray JM, Carr AM.",2014,[],[]
2017-08-29 23:19:33,"breast, cancer",28843283,The Proteomic Landscape of Triple-Negative Breast Cancer.,Cell reports,"Lawrence RT, Perez EM, Hernández D, Miller CP, Haas KM, Irie HY, Lee SI, Blau CA, Villén J.",2015,[],[]
2017-08-29 23:19:35,"breast, cancer",28844117,Well-Differentiated Thyroid Cancer Neovasculature Expresses Prostate-Specific Membrane Antigen-a Possible Novel Therapeutic Target.,Endocrine pathology,"Moore M, Panjwani S, Mathew R, Crowley M, Liu YF, Aronova A, Finnerty B, Zarnegar R, Fahey TJ 3rd, Scognamiglio T.",2017,"[<abstracttext>Prostate-specific membrane antigen (PSMA), a type II transmembrane glycoprotein receptor, is highly expressed in prostate cancer and in the tumor neovasculature of colon, breast, and adrenocortical tumors. Here, we analyzed PSMA expression in the neovasculature of various thyroid cancer subtypes and assessed whether PSMA expression is correlated with aggressive behavior. From a prospectively maintained database, we evaluated 91 samples from 68 patients, including 37 primary differentiated thyroid cancers (DTCs) [11 classic papillary (cPTC), 9 follicular-variant (FvPTC), 11 follicular (FTC), 6 radioactive iodine-refractory (RAIR)], 5 anaplastic (ATC) carcinomas, 9 distant and 12 lymph node metastases, 21 benign thyroid nodules, and 7 normal thyroid specimens. Formalin-fixed paraffin-embedded tissue blocks were immunostained for vascular endothelial marker CD31 and PSMA with proper controls. PSMA expression was not detected in normal thyroid tissue. DTC tumors demonstrated a significantly higher PSMA expression, in regard to both intensity and percentage of vessels stained, than benign tumors (p &lt; 0.001). Among the histologic subtypes, cPTC, FTC, and RAIR carcinomas demonstrated the highest percent of moderate to strong PSMA staining. PSMA expression was seen more frequently in specimens from distant metastases (100%) compared with specimens from only lymph node metastases (67%). PSMA is significantly overexpressed in the neovasculature of DTCs compared with normal and benign thyroid nodules specifically with increased expression in RAIR carcinomas and distant metastases. PSMA should be further explored as a novel therapeutic target for metastatic and RAIR carcinomas.</abstracttext>]",[]
2017-08-29 23:19:38,"breast, cancer",28844019,The Functional Roles of the MDM2 Splice Variants P2-MDM2-10 and MDM2-∆5 in Breast Cancer Cells.,Translational oncology,"Huun J, Gansmo LB, Mannsåker B, Iversen GT, Sommerfelt-Pettersen J, Øvrebø JI, Lønning PE, Knappskog S.",2017,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">MDM2 is a negative regulator of p53 and is upregulated in numerous human cancers. While different MDM2 splice variants have been observed in both normal tissues and malignant cells, their functions are poorly understood.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">We evaluated the effect of MDM2 splice variants by overexpression in MCF-7 cells and analyses of expression of downstream genes (qPCR and Western blot), subcellular localization (immunofluorescence), cell cycle assays (Nucleocounter3000), apoptosis analysis (Annexin V detection), and induction of senescence (β-galactosidase analysis).</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">In a screen for MDM2 splice variants in MCF-7 breast cancer cells, extended with data from healthy leukocytes, we found P2-MDM2-10 and MDM2-Δ5 to be the splice variants expressed at highest levels. Contrasting MDM2 full-length protein, we found normal tissue expression levels of P2-MDM2-10 and MDM2-Δ5 to be highest in individuals harboring the promoter SNP309TT genotype. While we detected no protein product coded for by MDM2-Δ5, the P2-MDM2-10 variant generated a protein markedly more stable than MDM2-FL. Both splice variants were significantly upregulated in stressed cells (P=4.3 × 10<sup>-4</sup> and P=7.1 × 10<sup>-4</sup>, respectively). Notably, chemotherapy treatment and overexpression of P2-MDM2-10 or MDM2-Δ5 both lead to increased mRNA levels of the endogenous MDM2-FL (P=.039 and P=.070, respectively) but also the proapoptotic gene PUMA (P=.010 and P=.033, respectively), accompanied by induction of apoptosis and repression of senescence.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">We found P2-MDM2-10 and MDM2-Δ5 to have distinct biological functions in breast cancer cells.</abstracttext>, <abstracttext label=""GENERAL SIGNIFICANCE"" nlmcategory=""CONCLUSIONS"">Alternative splicing may influence the oncogenic effects of the MDM2 gene.</abstracttext>]",[]
2017-08-29 23:19:41,"breast, cancer",28844016,Breast cancer in young women and prognosis: How important are proliferation markers?,"European journal of cancer (Oxford, England : 1990)","Fredholm H, Magnusson K, Lindström LS, Tobin NP, Lindman H, Bergh J, Holmberg L, Pontén F, Frisell J, Fredriksson I.",1990,"[<abstracttext label=""AIM"" nlmcategory=""OBJECTIVE"">Compared to middle-aged women, young women with breast cancer have a higher risk of systemic disease. We studied expression of proliferation markers in relation to age and subtype and their association with long-term prognosis.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">Distant disease-free survival (DDFS) was studied in 504 women aged &lt;40 years and 383 women aged ≥40 years from a population-based cohort. Information on patient characteristics, treatment and follow-up was collected from medical records. Tissue microarrays were produced for analysis of oestrogen receptor, progesterone receptor (PR), Her2, Ki-67 and cyclins.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Young women with luminal tumours had significantly higher expression of Ki-67 and cyclins. Proliferation markers were prognostic only within this subtype. Ki-67 was a prognostic indicator only in young women with luminal PR+ tumours. The optimal cut-off for Ki-67 varied by age. High expression of cyclin E1 conferred a better DDFS in women aged &lt;40 years with luminal PR- tumours (hazard ratio [HR] 0.47 [0.24-0.92]). Age &lt;40 years was an independent risk factor of DDFS exclusively in women with luminal B PR+ tumours (HR 2.35 [1.22-4.50]). Young women with luminal B PR- tumours expressing low cyclin E1 had a six-fold risk of distant disease compared with luminal A (HR 6.21 [2.17-17.6]).</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">The higher expression of proliferation markers in young women does not have a strong impact on prognosis. Ki-67 is only prognostic in the subgroup of young women with luminal PR+ tumours. The only cyclin adding prognostic value beyond subtype is cyclin E1. Age is an independent prognostic factor only in women with luminal B PR+ tumours.</abstracttext>]",[]
2017-08-29 23:19:44,"breast, cancer",28844015,Impact of gene-expression profiling in patients with early breast cancer when applied outside the guideline directed indication area.,"European journal of cancer (Oxford, England : 1990)","Schreuder K, Kuijer A, Rutgers EJT, Smorenburg CH, van Dalen T, Siesling S.",1990,"[<abstracttext label=""PURPOSE"" nlmcategory=""OBJECTIVE"">In Dutch guidelines, gene expression profiles (GEP) are indicated in estrogen receptor positive early breast cancer patients in whom benefit of chemotherapy (CT) is uncertain based on traditional prognostic factors alone. Aim of the present study is to assess the use and impact of GEP on administration of adjuvant CT in breast cancer patients who have according to national guidelines a clear indication to either use or withhold adjuvant chemotherapy (clinical high or low risk).</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">Clinical low- and high-risk patients, according to Dutch breast cancer guidelines, diagnosed between 2011 and 2014 were selected from the Netherlands Cancer Registry. Influence of GEP use and GEP test result on CT administration was assessed with logistic regression.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Overall, 26,425 patients were identified; 4.8% of patients with clinical low risk (444/9354), 7.5% of the patients with a clinical high risk (1281/17,071) received a GEP. GEP use was associated with significantly increased odds of CT administration in clinical low-risk patients (OR = 2.12 95% CI: 1.44-3.11). In clinical high-risk patients, GEP use was associated with a decreased frequency of CT administration (OR = 0.55, 95% CI: 0.48-0.63). Adherence to the GEP result was higher in clinical high-risk patients with a discordant GEP result as compared to clinical low-risk patients with a discordant GEP result: 71.7% vs. 52.2%, respectively.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">GEP is frequently used outside the indicated area and significantly influenced the administration of adjuvant CT, although adherence to the test result was limited.</abstracttext>]",[]
2017-08-29 23:19:47,"breast, cancer",28843976,Novel approaches to support breast cancer survivorship care models.,"Breast (Edinburgh, Scotland)","Gast KC, Allen SV, Ruddy KJ, Haddad TC.",2017,"[<abstracttext>The delivery of cancer survivorship care has been increasingly recognized as an area of healthcare in need of improvement. Several survivorship care models have previously been described in the literature. Yet, there is growing evidence that current models are both unsustainable for the future and fail to meet the diverse needs of cancer survivors. As a result, there has been an emphasis on developing innovative models of survivorship care that are accessible to patients and improve outcomes. Proposed solutions to address these concerns include enhanced collaboration and communication among care providers as well as incorporating the use of technology for survivorship care delivery. This article reviews existing models of survivorship care and describes future approaches to improve the care of breast cancer survivors.</abstracttext>]",[]
2017-08-29 23:19:49,"breast, cancer",28843942,Sexual Function in Women Suffering From Genitourinary Syndrome of Menopause Treated With Fractionated CO<sub>2</sub> Laser.,Sexual medicine reviews,"Salvatore S, Pitsouni E, Del Deo F, Parma M, Athanasiou S, Candiani M.",2017,"[<abstracttext label=""INTRODUCTION"" nlmcategory=""BACKGROUND"">Genitourinary syndrome of menopause (GSM) has a significant impact on the trophism of the genital and lower urinary tracts and can considerably impair sexual function. Fractional CO<sub>2</sub> laser has a regenerative effect on vulvovaginal tissue trophism after menopause.</abstracttext>, <abstracttext label=""AIM"" nlmcategory=""OBJECTIVE"">To review the available literature on the effect of fractional CO<sub>2</sub> laser on the sexual function of postmenopausal women affected by GSM.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">A database search was carried out using the terms CO<sub>2</sub>laser, vaginal atrophy, sexual function, dyspareunia, and genitourinary syndrome of menopause and excluding studies using other types of laser or including breast cancer survivors with vulvovaginal atrophy. For statistical analysis, the estimated overall laser effect was computed (when at least two studies were involved) and data type of generic inverse variance was computed using inverse variance as the statistical method, a random-effects model, and the difference in means as an effect measurement.</abstracttext>, <abstracttext label=""MAIN OUTCOME MEASURES"" nlmcategory=""METHODS"">Different methods of evaluating sexual function were reported and studies were grouped and analyzed accordingly. Subjective assessment for dyspareunia was evaluated with a 10-point visual analog scale. Patient-reported outcome for an overall perception of sexual function was evaluated with a Likert scale. The Female Sexual Function Index was used as a condition-specific questionnaire.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Six articles were considered for this review. A total of 273 women (mean age = 57.8 years) were treated with the same protocol in all studies. Compared with baseline, at the end of the treatment, dyspareunia significantly decreased in severity (P &lt; .001), and the patient's perception of overall sexual function showed a statistically significant improvement (P &lt; .001). At the last follow-up visit, the Female Sexual Function Index score for each single domain and overall score was significantly better than at entry (P &lt; .001).</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">Fractional CO<sub>2</sub> laser can improve sexual function in postmenopausal women affected by GSM by restoring a better trophism in the lower genitourinary tract. Salvatore S, Pitsouni E, Del Deo F, et al. Sexual Function in Women Suffering From Genitourinary Syndrome of Menopause Treated With Fractionated CO<sub>2</sub>Laser. Sex Med Rev 2017;X:XXX-XXX.</abstracttext>]",[]
2017-08-29 23:19:53,"breast, cancer",28843709,PD-L1 in Breast Cancer: Comparative Analysis of Three Different Antibodies.,Human pathology,"Karnik T, Kimler BF, Fan F, Tawfik O.",2017,"[<abstracttext>The Programmed cell death-1 and its ligand-1 (PD-L1) interaction serve as a regulatory check against excessive immune response to antigen and autoimmunity. We compared the performance of three different PD-L1 antibodies (Ventana SP263, Dako 22C3 and BioCare RbMCAL10 antibodies) in 136 invasive ductal carcinoma specimens including 43 primary, 48 locally metastatic and 46 distantly metastatic disease. PD-L1 expression was correlated with clinicopathologic parameters including tumor size, grade, lymphovascular invasion, estrogen receptor (ER), progesterone receptor (PgR), HER2, Ki67, molecular type, TN status. There was excellent agreement between the three antibodies, with highly significant Kappa values (P≤.001). PD-L1 expression was more likely to be associated with higher tumor grade, ER-, PgR-, triple negative (TN) and highly proliferative tumors (P&lt;.001). When we studied PD-L1 expression at 0, 1-9%, 10-49% and ≥50% cutoff points by the three antibodies there were 20 discordant cases between the antibodies. Sixteen were of inconsequential impact as far as low and high PD-L1 expression. The four differences between antibodies did exhibit an interesting pattern of expression, where there was a general agreement between the BioCare and Ventana antibodies with consistent higher PD-L1 expression compared to the Dako antibody. Given the high concordance, it is not surprising that all three antibodies demonstrated the same associations with all pathologic and clinical parameters studied. Standardization studies to identify reliable biomarkers that help in patient selection for immune therapy to improve the risk-benefit ratio for these drugs are still needed.</abstracttext>]",[]
2017-08-29 23:19:55,"breast, cancer",28843513,Discrepancies Between Pathological Tumor Responses and Estimations of Complete Response by Magnetic Resonance Imaging After Neoadjuvant Chemotherapy Differ by Breast Cancer Subtype.,Clinical breast cancer,"Namura M, Tsunoda H, Yagata H, Hayashi N, Yoshida A, Morishita E, Takei J, Suzuki K, Yamauchi H.",2017,"[<abstracttext label=""INTRODUCTION"" nlmcategory=""BACKGROUND"">The influence of breast cancer (BC) subtype in discrepancies between pathologic complete response (pCR) and complete response by magnetic resonance imaging (MRI-CR) after neoadjuvant chemotherapy (NAC) have not been discussed well. We evaluated the association between BC subtype and pCR or only residual in situ lesion without invasive cancer (pCR/in situ<sup>+</sup>) in patients with MRI-CR (positive predictive value [PPV]).</abstracttext>, <abstracttext label=""MATERIAL AND METHODS"" nlmcategory=""METHODS"">From the data of 716 patients with primary BC who were diagnosed with invasive cancer and treated with NAC and then surgery from January 2009 to May 2014 at St. Luke's International Hospital, 180 patients were determined to have MRI-CR by retrospective chart review. BC subtypes at baseline were classified into 6 subtypes, as strong estrogen receptor (ER<sup>++</sup>), moderately positive ER (ER<sup>+</sup>), negative ER (ER<sup>-</sup>), and HER2 status expression.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Three subtypes had PPV (pCR) ≥ 50%: ER<sup>-</sup>/HER2<sup>+</sup> (56.3%, 27/48), ER<sup>-</sup>/HER2<sup>-</sup> (57.6%, 34/59), and ER<sup>+</sup>/HER2<sup>+</sup> (56.2%, 9/16). However, PPV (pCR) for the ER<sup>++</sup>/HER2<sup>-</sup> and ER<sup>++</sup>/HER2<sup>+</sup> subtypes was &lt; 30%; notably, only 12.0% (3/25) for the ER<sup>++</sup>/HER2<sup>-</sup> subtype, which was significantly low (P &lt; .001) compared with ER<sup>++</sup>/HER2<sup>-</sup> and other subtypes. PPV (pCR/in situ<sup>+</sup>) was significantly low at 20.0% in the ER<sup>++</sup>/HER2<sup>-</sup> subtype (P &lt; .001 compared with other subtypes). PPV (pCR/in situ<sup>+</sup>) in other subtypes was collectively greater than 60%, and was 91.7% in the ER<sup>-</sup>/HER2<sup>+</sup> subtype.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">We should interpret carefully MRI-CR of NAC to evaluate residual disease for ER<sup>++</sup>/HER2<sup>-</sup> BC.</abstracttext>]",[]
2017-08-29 23:19:58,"breast, cancer",28843410,"Health system barriers and enablers to early access to breast cancer screening, detection, and diagnosis: a global analysis applied to the MENA region.",Public health,"Bowser D, Marqusee H, El Koussa M, Atun R.",2017,"[<abstracttext label=""OBJECTIVES"" nlmcategory=""OBJECTIVE"">To identify barriers and enablers that impact access to early screening, detection, and diagnosis of breast cancer both globally and more specifically in the Middle East and North Africa (MENA) region (with a specific focus on Egypt, Jordan, Oman, Saudi Arabia, United Arab Emirates [UAE], and Kuwait) with a specific focus on the health system.</abstracttext>, <abstracttext label=""STUDY DESIGN"" nlmcategory=""METHODS"">A systematic review of literature.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">We conducted a systematic reviewing using the PRISMA methodology. We searched PubMed, Global Index Medicus, and EMBASE for studies on 'breast cancer', 'breast neoplasm,' or 'screening, early detection, and early diagnosis' as well as key words related to the following barriers: religion, culture, health literacy, lack of knowledge/awareness/understanding, attitudes, fatalism/fear, shame/embarrassment, and physician gender from January 1, 2000 until September 1, 2016. Two independent reviewers screened both titles and abstracts. The application of inclusion and exclusion criteria yielded a final list of articles. A conceptual framework was used to guide the thematic analysis and examine health system barriers and enablers to breast cancer screening at the broader macro health system level, at the health provider level, and the individual level. The analysis was conducted globally and in the MENA region.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">A total of 11,936 references were identified through the initial search strategy, of which 55 were included in the final thematic analysis. The results found the following barriers and enablers to access to breast cancer screening at the health system level, the health provider level, and the individual level: health system structures such as health insurance and care coordination systems, costs, time concerns, provider characteristics including gender of the provider, quality of care issues, medical concerns, and fear. In addition, the following seven barriers and enablers were identified at the health system or provider level as significantly impacting screening for breast cancer: (1) access to insurance, (2) physician recommendation, (3) physician gender, (4) provider characteristics, (5) having a regular provider, (6) fear of the system or procedure, and (7) knowledge of the health system. More specifically, the largest increased odds for having a mammogram was from having insurance, having a physician recommendation, type of provider (mainly gynecologist), and having regular contact with a physician. Clinical breast examinations were increased by having insurance and having regular contact with a physician. The eight studies identified from the MENA region identified barriers to breast cancer screening related to service quality, fear of pain and of cancer itself, female versus male provider, having a physician recommend the screen, cost issues as well as time and convenience of the services.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">There are a number of system changes that can be made to remove barriers to breast cancer screening. Some of these system changes apply directly to MENA countries. A larger health system assessment of a country is warranted to determine which health system changes should be made to most efficiently and effectively improve access to breast cancer screening.</abstracttext>]",[]
